season,season_type,week,team_abb,qbr_total,pts_added,qb_plays,epa_total,pass,run,exp_sack,penalty,qbr_raw,name_display,opp_abb
2022,POST,20,JAX,54.3,0.6,44,4.2,1.4,2.8,-0.9,-0.1,54.4,Trevor Lawrence,KC
2022,POST,21,PHI,66.3,1.4,39,4.5,3.4,0.8,-0.2,0.3,62.2,Jalen Hurts,SF
2022,POST,21,CIN,50.7,0.1,55,5.1,3.4,2,-1.7,-0.2,50.9,Joe Burrow,KC
2022,POST,21,KC,69.2,2.5,51,7.1,6.8,0,-1.4,0.4,66.9,Patrick Mahomes,CIN
2022,POST,22,PHI,80.9,6.7,60,12.1,8.5,3,-0.4,0.6,83,Jalen Hurts,KC
2022,POST,22,KC,96.3,6.8,34,9.9,7.1,2.5,0,0.3,94.4,Patrick Mahomes,PHI
2023,REG,12,NYJ,4.2,-11.1,53,-3.6,-1.3,-2.4,-2,0.2,4.9,Tim Boyle,MIA
2023,REG,13,NYJ,20.7,-2.4,31,0.4,0.2,0.5,-0.5,-0.3,24.9,Tim Boyle,ATL
2023,POST,19,TB,43.9,0.8,43,4.2,2.6,1.6,-2.4,-0.1,56.2,Baker Mayfield,PHI
2023,POST,19,DAL,43.7,0.1,73,3.5,1.8,1.7,-1,0,50.3,Dak Prescott,GB
2023,POST,19,PHI,40.8,-1.2,42,2.3,3.9,-1.1,-0.8,-0.5,40,Jalen Hurts,TB
2023,POST,19,DET,75.5,3,32,5.9,5.7,0,-1.5,0.2,79.1,Jared Goff,LA
2023,POST,19,CLE,55.7,1,54,4.3,4,0.4,-1.1,-0.1,56.6,Joe Flacco,HOU
2023,POST,19,GB,99.3,7.3,22,7.6,7.5,0,0,0.2,99.1,Jordan Love,DAL
2023,POST,19,BUF,92,6.3,40,8.8,4.3,4.4,-0.5,0.1,90.3,Josh Allen,PIT
2023,POST,19,PIT,41,-1.8,44,1.7,0.7,0.8,-0.5,0.2,35.8,Mason Rudolph,BUF
2023,POST,19,LA,75.3,3.7,41,7.4,7.3,0,-0.7,0.1,78.4,Matthew Stafford,DET
